build up,Boomklever,Boomkruiper,Ekster,Gaai,Groenling,Grote bonte specht,Halsbandparkiet,Heggenmus,Houtduif,Huismus,Koolmees,Koperwiek,Kramsvogel,Merel,Pimpelmees,Roodborst,Spreeuw,Staartmees,Stadsduif,Turkse totel,Vink,Winterkoning,Zanglijster,Kraai,Vlaamse gaai,Alexander parkiet,Buizerd,Havik,Torenvalk,Sperwer,Boomvalk,Tjiftjaf,Barnacle goose,aalscholver,Meeuw,Coot,Pheasant,Nile Goose,Unkown black duck,wilde eend,White Swan,Kestrel,Unknown,Unknown geese,Gull,Grey heron/Blauwe reiger,Greylag Goose,Wagtail,Great Crested Grebe,Canada Goose,Northern Lapwing,Wilde eend,Groene specht,Jackdaw,Grass duck,Halsbandparkiet,Reiger,Waterhoen,Vink,Boerenzwaluw,Seagull,Eend,Goudvink,Fuut,Papagaai,Kokmeeuw,Cormorant,Mallard,Common moorhen,Domestic goose,Smient,Blue Heron,Swallow,Unknown 1,Unknown 2,Unknown 3,species count,total birds
0,3,5,13,5,0,0,4,3,62,1,28,0,0,29,0,3,1,2,17,0,2,0,0,54,3,5,1,0,1,1,0,0,0,0,10,4,9,18,0,0,0,4,4,25,1,7,15,1,2,8,2,8,7,1,1,1,0,0,0,0,2,1,0,0,0,0,2,5,2,10,0,0,19,0,0,0,47,459
1,0,0,1,0,0,0,0,1,11,8,2,0,0,6,0,1,15,3,3,0,0,0,0,10,6,4,0,0,1,0,0,0,18,2,50,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,167
2,0,0,11,0,0,2,0,4,0,5,4,0,0,4,0,0,0,2,3,0,0,2,0,4,4,2,4,1,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,30,0,0,0,20,184
3,2,1,1,0,0,0,1,0,11,10,0,0,0,3,0,2,0,0,47,0,0,0,0,2,2,1,7,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,18,130
4,0,0,11,0,0,0,0,0,10,3,2,0,0,9,0,1,0,0,14,0,0,0,0,3,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,79
5,0,2,20,1,0,0,22,0,92,5,3,0,0,26,0,3,4,4,52,1,1,5,1,88,4,3,1,0,0,0,0,8,14,0,2,0,15,9,0,14,3,3,2,0,3,0,0,0,0,0,0,2,2,5,6,2,0,2,0,0,0,38,1,2,0,12,0,0,0,0,1,0,0,0,0,0,41,525
8,0,0,3,0,0,0,0,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21
10,0,0,35,21,0,0,18,30,125,9,13,0,0,20,0,5,21,3,57,0,2,0,0,57,1,2,1,0,0,0,0,0,0,2,0,10,4,3,0,12,0,1,11,5,23,1,0,4,0,12,0,8,1,15,0,3,0,1,0,5,3,12,0,0,0,0,1,5,1,0,0,0,0,0,0,0,40,603
15,0,0,24,3,0,0,0,1,17,0,1,0,0,11,0,0,0,0,13,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,7,3,5,1,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,2,18,207
20,0,0,20,0,0,1,19,1,24,9,3,0,0,21,1,4,0,0,22,5,1,0,0,36,1,0,0,0,0,0,0,0,10,0,0,6,6,4,0,0,6,0,0,0,100,1,0,0,0,4,0,13,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,5,0,0,5,29,364
25,0,0,0,0,0,0,0,6,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18
30,0,0,3,8,0,0,15,0,29,6,2,12,0,22,0,1,0,0,0,0,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,5,8,12,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,191
35,0,0,5,1,0,0,0,2,3,8,2,0,0,10,0,2,0,0,30,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,98
40,0,0,20,0,0,0,1,0,4,0,0,0,0,8,0,0,0,0,3,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,76
50,0,0,4,4,0,1,31,0,9,1,1,0,0,1,0,0,0,0,39,1,0,0,0,16,4,2,0,0,0,0,0,0,4,0,0,7,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,21,176
55,0,0,0,0,0,0,0,0,18,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,64
60,0,0,6,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,53
70,0,0,18,0,0,0,13,0,24,0,3,0,0,4,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,14,124
80,0,0,1,0,0,0,7,0,2,0,0,0,0,11,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,60
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12
90,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27
